Wall time,Step,Value
1554678021.439682,1,0.6099739074707031
1554678205.218447,51,0.3802397549152374
1554678449.247571,101,0.3626798689365387
1554678636.038466,151,0.9732509255409241
1554678818.691304,201,0.38709235191345215
1554679000.178421,251,0.11693714559078217
1554682418.893989,301,0.10576818138360977
1554682685.845076,351,0.0890309140086174
1554682897.128448,401,0.27614733576774597
1554683093.71295,451,0.4936284124851227
1554683287.265199,501,0.6501748561859131
1554683480.930758,551,0.18096116185188293
1554683674.214287,601,0.2764227092266083
1554683868.254523,651,0.1444660872220993
1554684063.036055,701,0.15867042541503906
1554684258.228951,751,0.10311183333396912
1554684452.945655,801,0.13957758247852325
1554684647.769977,851,0.1648186594247818
1554684842.135093,901,0.24725323915481567
1554685036.524746,951,0.8319676518440247
1554685230.832616,1001,0.22681209444999695
1554685426.932963,1051,0.10160088539123535
1554685621.815868,1101,0.19328103959560394
1554685816.511564,1151,0.22392484545707703
1554686013.128758,1201,0.07026511430740356
1554686208.827615,1251,0.09748073667287827
1554686404.514294,1301,0.05032509192824364
1554686600.578349,1351,0.04991869255900383
1554686795.371683,1401,0.08221177756786346
1554686989.586041,1451,0.09981492906808853
1554687183.825355,1501,0.04492839053273201
1554687379.115272,1551,0.0719868615269661
1554687574.162055,1601,0.02974223531782627
1554687769.392334,1651,0.09138404577970505
1554687964.240649,1701,0.0310058631002903
1554688159.924142,1751,0.05830620974302292
1554688356.274034,1801,0.05519743263721466
1554688550.672592,1851,0.05776277929544449
1554688745.688682,1901,0.09367057681083679
1554688940.789631,1951,0.15336689352989197
1554689136.158952,2001,0.08164375275373459
