Wall time,Step,Value
1554863810.38614,1,0.22842510044574738
1554864394.903857,51,0.1823963224887848
1554864955.562598,101,0.16845113039016724
1554865514.752961,151,0.1623384803533554
1554866073.577711,201,0.15474919974803925
1554866631.819383,251,0.07789081335067749
1554867193.979134,301,0.2402484267950058
1554867753.710391,351,0.08080771565437317
1554868312.191843,401,0.42716071009635925
1554868871.216266,451,0.33153510093688965
1554869429.373675,501,0.04095024615526199
1554869988.930121,551,0.2599524259567261
1554870546.357268,601,0.158037006855011
1554871105.812501,651,0.13060085475444794
1554871662.056036,701,0.08305192738771439
1554872218.635112,751,0.07124726474285126
1554872775.493734,801,0.16444136202335358
1554873330.622836,851,0.06966031342744827
1554873885.627928,901,0.1179521307349205
1554895890.195289,949,0.09661323577165604
1554896462.069925,999,0.05380735918879509
1554897025.988535,1049,0.10359004884958267
1554897580.536911,1099,0.06609448045492172
1554898133.217907,1149,0.03788857161998749
1554903471.363356,1199,0.054649658501148224
1554904062.087862,1249,0.20331479609012604
1554904643.284868,1299,0.12614791095256805
1554905223.778241,1349,0.2525847852230072
1554905801.804226,1399,0.04055936262011528
1554906379.90093,1449,0.04634949192404747
1554906962.012095,1499,0.16753873229026794
1554907543.377639,1549,0.05846261605620384
1554908127.467679,1599,0.40401703119277954
1554908713.478293,1649,0.17639413475990295
1554909296.84872,1699,0.22162926197052002
1554909878.824405,1749,0.36193060874938965
1554910458.677148,1799,0.08209473639726639
1554911042.105286,1849,0.025735214352607727
1554911632.410495,1899,0.16758005321025848
1554912218.197431,1949,0.0694003701210022
1554912805.351826,1999,0.07147446274757385
