Wall time,Step,Value
1554667620.770595,1,0.33945709466934204
1554667888.707834,51,0.468612939119339
1554668103.510604,101,0.907302737236023
1554668302.158795,151,0.5630160570144653
1554668500.757746,201,0.5983256101608276
1554668698.43403,251,0.4697459936141968
1554668896.087385,301,0.15806922316551208
1554669092.672184,351,0.5444250106811523
1554669290.341427,401,0.3601125180721283
1554669487.806378,451,0.36312320828437805
1554669684.024247,501,0.4545207917690277
1554669883.602378,551,0.09469631314277649
1554670083.90556,601,0.9812742471694946
1554670281.469708,651,0.11558002233505249
1554670478.690575,701,0.603618860244751
1554670688.934915,751,0.5033104419708252
1554670942.932408,801,0.1767181009054184
1554671191.148541,851,0.0935724750161171
1554671479.617897,901,0.10398085415363312
1554671724.404327,951,0.046886224299669266
1554671988.80312,1001,0.13077229261398315
1554672214.251518,1051,0.09953156858682632
1554672397.257558,1101,0.10645802319049835
1554672577.358936,1151,0.05635533854365349
1554672757.594002,1201,0.0971933901309967
1554672937.618436,1251,0.06384497135877609
1554673117.653195,1301,0.31568625569343567
1554673298.32522,1351,0.2684304416179657
1554673478.417124,1401,0.2618791162967682
1554673660.529398,1451,0.026220206171274185
1554673840.337556,1501,0.050828829407691956
1554674021.447208,1551,0.06230682134628296
1554674201.809497,1601,0.1924213320016861
1554674382.578275,1651,0.3760547935962677
1554674563.566559,1701,0.15945746004581451
1554674743.525181,1751,0.08333546668291092
1554674923.812341,1801,0.13021069765090942
1554675103.584096,1851,0.053807660937309265
1554675286.011996,1901,0.28513264656066895
1554675466.089766,1951,0.2339206486940384
