Wall time,Step,Value
1554839619.933933,1,0.07416793704032898
1554840248.666512,51,0.7456942200660706
1554840869.469719,101,0.14662502706050873
1554841469.332872,151,0.4634856879711151
1554842065.27511,201,0.0773625373840332
1554842663.58721,251,0.05051101744174957
1554843267.277549,301,0.16123490035533905
1554843861.283435,351,0.05286387354135513
1554844453.528726,401,0.29275596141815186
1554845045.292018,451,0.05417218804359436
1554845641.011978,501,0.2110191136598587
1554846236.022809,551,0.40049484372138977
1554846823.15022,601,0.07929442822933197
1554847410.70225,651,0.07721012085676193
1554847997.270897,701,0.11275508999824524
1554852145.400718,751,0.047321125864982605
1554852735.58499,801,0.07103287428617477
1554853306.906137,851,0.028612170368433
1554853875.564245,901,0.04760978743433952
1554854446.956208,951,0.05123426020145416
1554855027.984313,1001,0.03765712305903435
1554855657.077161,1051,0.12436266243457794
1554913460.700394,1101,0.20229293406009674
1554914071.143647,1151,0.21155759692192078
1554914660.11923,1201,0.23428714275360107
1554915249.411481,1251,0.2596389651298523
1554915836.110389,1301,0.021081723272800446
1554916419.933599,1351,0.2122841328382492
1554917011.11067,1401,0.3428967297077179
1554917598.542424,1451,0.04978989064693451
1554918185.613037,1501,0.3749130368232727
1554918771.0357,1551,0.06578410416841507
1554919354.86991,1601,0.11430028080940247
1554919938.157478,1651,0.1208152025938034
1554920524.415629,1701,0.07655413448810577
1554921107.5904,1751,0.15391674637794495
1554921695.534941,1801,0.16181552410125732
1554922277.221392,1851,0.0718064084649086
1554922872.332439,1901,0.4527783691883087
1554923458.931717,1951,0.0582309328019619
