Wall time,Step,Value
1554655107.380038,1,0.4352259039878845
1554655128.57574,51,17.414243698120117
1554655149.742025,101,0.5236261487007141
1554655170.594814,151,0.9097806215286255
1554655191.642984,201,0.9084664583206177
1554655212.586937,251,0.19480524957180023
1554655233.633659,301,0.6594524383544922
1554655254.423559,351,26.004356384277344
1554655275.61745,401,165.71835327148438
1554655296.768306,451,0.8808883428573608
1554655317.467944,501,0.20638816058635712
1554655338.760175,551,9.392936706542969
1554655359.609366,601,18.31934928894043
1554655380.662816,651,5.790898323059082
1554655401.82717,701,0.4529336094856262
1554655422.493229,751,8.950886726379395
1554655443.695083,801,0.5365536212921143
1554655464.71602,851,29.965213775634766
1554655485.900591,901,0.7592608332633972
1554655506.753729,951,4.584466934204102
1554655527.885263,1001,0.8486780524253845
1554655548.782993,1051,1.097748041152954
1554655569.642334,1101,0.7407015562057495
1554655590.608819,1151,0.03669403865933418
1554655611.693475,1201,0.4698164165019989
1554655632.931445,1251,56.65525436401367
1554655653.897852,1301,1.1407134532928467
1554655674.919946,1351,0.7688286900520325
1554655696.017483,1401,0.00011425792035879567
1554655717.186266,1451,0.12495247274637222
1554655738.06794,1501,0.7118282914161682
1554655759.558404,1551,0.09264694899320602
1554655780.799487,1601,18.263010025024414
1554655801.872961,1651,0.11498698592185974
1554655823.036021,1701,0.4023483693599701
1554655844.164609,1751,0.0033892053179442883
1554655865.254297,1801,0.002756154164671898
1554655886.541857,1851,28.846027374267578
1554655907.398258,1901,0.689159095287323
1554655928.382326,1951,0.6678041815757751
