Wall time,Step,Value
1554658731.616315,1,0.6585685610771179
1554658942.314213,51,0.3362739384174347
1554659141.828529,101,0.38635528087615967
1554659343.05499,151,0.5676187872886658
1554659540.005103,201,0.40711119771003723
1554659734.190618,251,0.623173177242279
1554659929.343258,301,0.1594250351190567
1554660127.486667,351,0.23451659083366394
1554660330.945748,401,0.15534639358520508
1554660532.312738,451,0.09891584515571594
1554660733.747071,501,0.11284462362527847
1554660935.390131,551,0.11954629421234131
1554661130.432495,601,0.1696045845746994
1554661324.89464,651,0.2716341018676758
1554661519.162956,701,0.44535329937934875
1554661715.197952,751,0.22992537915706635
1554661936.920199,801,0.36581864953041077
1554662168.707657,851,0.20855940878391266
1554662407.395999,901,0.11936269700527191
1554662633.692332,951,0.3448152542114258
1554662861.539179,1001,0.3613426387310028
1554663086.674475,1051,0.39668095111846924
1554663310.042417,1101,0.4902220666408539
1554663554.716055,1151,0.21002385020256042
1554663747.805045,1201,0.19627070426940918
1554663962.373165,1251,0.03601460158824921
1554664157.824972,1301,0.732384979724884
1554664353.334502,1351,0.18636539578437805
1554664550.572519,1401,0.26439470052719116
1554664746.442332,1451,0.11526963114738464
1554664942.217663,1501,0.07937243580818176
1554665137.781115,1551,0.20997458696365356
1554665332.829177,1601,0.29276832938194275
1554665528.571456,1651,0.24189910292625427
1554665723.899051,1701,0.2293907254934311
1554665921.007558,1751,0.06613317131996155
1554666114.99117,1801,0.352882981300354
1554666309.568106,1851,0.1434926986694336
1554666507.286074,1901,0.17375724017620087
1554666704.242211,1951,0.20572082698345184
