Wall time,Step,Value
1554738583.757957,1,0.3726467788219452
1554739217.048846,51,0.4766952097415924
1554739806.802208,101,0.2525845170021057
1554740401.904237,151,0.19783641397953033
1554740989.339849,201,0.32943040132522583
1554741577.395557,251,0.13248766958713531
1554742165.068461,301,0.6859503984451294
1554742764.996381,351,1.3431037664413452
1554743350.355215,401,0.2822490930557251
1554743938.072778,451,0.7321255207061768
1554744517.896276,501,0.8978210687637329
1554745100.739313,551,0.09457702934741974
1554745688.80525,601,0.734500527381897
1554746273.6013,651,0.2367943376302719
1554746856.318027,701,0.045648522675037384
1554747442.163006,751,0.06329292804002762
1554748025.096042,801,0.24914823472499847
1554748611.307294,851,0.08187280595302582
1554749191.677017,901,0.40616142749786377
1554749788.155633,951,0.07582136988639832
1554750375.743537,1001,0.20429466664791107
1554750972.84804,1051,0.42648234963417053
1554751565.632972,1101,0.09560581296682358
1554752155.029284,1151,0.10861219465732574
1554752738.104396,1201,0.03314276784658432
1554753345.146059,1251,0.30997076630592346
1554753959.338387,1301,0.11380716413259506
1554754553.217888,1351,0.05190064758062363
1554755142.545948,1401,0.1373400241136551
1554755735.508848,1451,0.15469810366630554
1554756325.143459,1501,0.02908487617969513
1554780806.182591,1551,0.1381356567144394
1554781407.138648,1601,0.2017543613910675
1554835174.064778,1651,0.20620504021644592
1554835787.379783,1701,0.1274552196264267
1554836374.406485,1751,0.03547694534063339
1554836968.803511,1801,0.29500046372413635
1554837567.408005,1851,0.21248619258403778
1554838164.752024,1901,0.049606166779994965
1554838760.469606,1951,0.27342063188552856
