Wall time,Step,Value
1554653070.330505,1,2.570361614227295
1554653091.818666,51,5921.47607421875
1554653112.962853,101,11395.25
1554653134.005696,151,5484.26416015625
1554653154.7617,201,5250.025390625
1554653175.600755,251,3320.3203125
1554653196.906433,301,2887.610595703125
1554653218.095615,351,594.5970458984375
1554653239.08394,401,1221.628662109375
1554653259.87582,451,496.7928161621094
1554653280.833779,501,1179.36767578125
1554653301.947158,551,1244.3707275390625
1554653323.02703,601,2695.369384765625
1554653343.8299,651,4592.0234375
1554653365.039322,701,927.8390502929688
1554653386.169874,751,225.07470703125
1554653407.676066,801,446.9571533203125
1554653430.192468,851,1811.7474365234375
1554653452.466983,901,471.124755859375
1554653474.738435,951,364.6408996582031
1554653497.271825,1001,679.67724609375
1554653519.452376,1051,141.79226684570312
1554653541.663632,1101,545.0663452148438
1554653563.770594,1151,315.6681213378906
1554653586.259167,1201,431.40155029296875
1554653608.643923,1251,419.6798400878906
1554653631.248007,1301,114.09037017822266
1554653653.443009,1351,56.11046600341797
1554653675.767423,1401,150.1487579345703
1554653697.998356,1451,255.06002807617188
1554653720.261842,1501,328.1317443847656
1554653742.815787,1551,1195.5675048828125
1554653764.313036,1601,714.665283203125
1554653785.399113,1651,156.0568084716797
1554653806.517087,1701,202.8978729248047
1554653827.27051,1751,207.923583984375
1554653848.450788,1801,94.35133361816406
1554653869.294537,1851,237.75827026367188
1554653890.34485,1901,895.0988159179688
1554653911.469321,1951,34.70673370361328
